startedAt,duration,guided
10/18/2015 22:11:28,10:00,FALSE
10/19/2015 21:17:46,30:00:00,FALSE
10/19/2015 21:49:51,1:00,FALSE
10/27/2015 20:22:37,3:00,FALSE
10/27/2015 20:26:01,3:00,FALSE
7/15/2016 22:05:02,5:00,FALSE
7/15/2016 22:11:57,0:10,FALSE
7/19/2016 22:31:56,7:15,TRUE
4/21/2017 20:51:05,6:00,FALSE
4/21/2017 21:02:30,0:22,TRUE
4/21/2017 21:03:24,13:24,TRUE
4/22/2017 20:40:02,12:00,FALSE
4/23/2017 20:24:51,12:00,FALSE
4/26/2017 16:21:48,15:40,FALSE
5/3/2017 21:14:07,15:00,TRUE
5/16/2017 16:29:59,20:45,TRUE
6/11/2017 22:21:33,14:13,TRUE
6/12/2017 23:08:28,5:30,TRUE
6/14/2017 19:45:30,5:00,TRUE
7/5/2017 21:31:55,5:30,TRUE
7/8/2017 20:14:32,12:38,TRUE
7/9/2017 21:31:29,10:08,TRUE
7/10/2017 22:46:55,10:08,TRUE
7/12/2017 20:03:29,10:10,TRUE
7/27/2017 20:42:36,16:15,TRUE
8/1/2017 0:41:17,16:15,TRUE
8/1/2017 23:51:37,5:30,TRUE
8/2/2017 21:16:56,7:00,TRUE
8/4/2017 0:19:32,6:26,TRUE
8/7/2017 19:57:50,5:00,FALSE
8/22/2017 1:11:54,8:43,TRUE
8/23/2017 0:07:25,10:30,TRUE
8/25/2017 0:01:13,14:13,TRUE
9/5/2017 0:01:53,12:11,TRUE
9/5/2017 22:39:45,13:35,TRUE
9/6/2017 22:49:06,5:54,TRUE
9/9/2017 0:32:51,8:10,TRUE
9/9/2017 0:42:25,5:00,TRUE
9/11/2017 1:38:30,10:16,TRUE
9/12/2017 0:36:44,12:17,TRUE
9/12/2017 23:46:44,11:24,TRUE
9/14/2017 23:15:12,10:00,FALSE
9/25/2017 20:43:13,6:05,TRUE
9/27/2017 0:31:24,10:00,TRUE
9/27/2017 21:09:01,5:47,TRUE
9/28/2017 21:51:10,11:03,TRUE
10/9/2017 19:33:12,10:59,TRUE
10/20/2017 23:44:46,8:12,TRUE
10/21/2017 23:43:29,10:00,TRUE
10/22/2017 20:58:53,10:00,FALSE
10/23/2017 23:06:37,10:00,FALSE
10/23/2017 23:17:26,4:29,TRUE
10/24/2017 8:47:44,4:15,TRUE
10/24/2017 23:37:16,10:00,TRUE
10/25/2017 9:15:20,4:11,TRUE
10/26/2017 23:03:47,9:49,TRUE
10/27/2017 22:56:00,10:00,FALSE
5/1/2018 22:53:11,18:32,TRUE
5/2/2018 23:11:47,8:30,TRUE
5/3/2018 23:23:48,5:13,TRUE
5/4/2018 0:09:19,7:18,TRUE
5/4/2018 23:24:20,3:07,TRUE
5/7/2018 22:40:02,6:32,TRUE
5/8/2018 23:07:44,4:47,TRUE
5/10/2018 21:55:43,7:21,TRUE
5/13/2018 22:41:25,8:30,TRUE
5/14/2018 10:28:22,8:05,TRUE
5/14/2018 22:56:28,7:21,TRUE
5/15/2018 23:51:44,8:43,TRUE
5/16/2018 23:21:39,8:30,TRUE
5/17/2018 23:03:21,5:16,TRUE
5/18/2018 23:25:00,8:30,FALSE
5/19/2018 22:51:32,8:50,TRUE
5/20/2018 23:30:49,7:46,TRUE
5/21/2018 21:43:40,8:30,TRUE
5/22/2018 23:50:15,8:30,TRUE
5/23/2018 23:20:00,8:30,FALSE
